Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2020-04-23 07-AM,ETHEUR,166.74,166.74,166.74,166.74,0.0,0.0
2020-04-23 06-AM,ETHEUR,170.73,170.73,166.12,166.74,45.84,7697.04
2020-04-23 05-AM,ETHEUR,170.73,170.73,170.73,170.73,0.0,0.0
2020-04-23 04-AM,ETHEUR,170.73,170.73,170.73,170.73,0.0,0.0
2020-04-23 03-AM,ETHEUR,170.73,170.73,170.73,170.73,0.0,0.0
2020-04-23 02-AM,ETHEUR,170.73,170.73,170.73,170.73,0.0,0.0
2020-04-23 01-AM,ETHEUR,170.73,170.73,170.73,170.73,0.0,0.0
2020-04-23 12-AM,ETHEUR,168.29,170.73,168.29,170.73,5.857,999.99
2020-04-22 11-PM,ETHEUR,168.29,168.29,168.29,168.29,0.0,0.0
2020-04-22 10-PM,ETHEUR,168.29,168.29,168.29,168.29,0.0,0.0
2020-04-22 09-PM,ETHEUR,168.26,171.23,168.26,168.29,0.2453,41.45
2020-04-22 08-PM,ETHEUR,169,169,168.26,168.26,0.1869,31.45
2020-04-22 07-PM,ETHEUR,170.52,170.52,169,169,4.7,794.3
2020-04-22 06-PM,ETHEUR,169,170.52,169,170.52,5.373,909.04
2020-04-22 05-PM,ETHEUR,169,169,169,169,0.9116,154.06
2020-04-22 04-PM,ETHEUR,170.5,170.5,169,169,0.2244,37.93
2020-04-22 03-PM,ETHEUR,170.5,170.5,170.5,170.5,3.102,528.82
2020-04-22 02-PM,ETHEUR,166.55,170.5,166.55,170.5,14.35,2445.55
2020-04-22 01-PM,ETHEUR,163.2,167.05,163.2,166.55,5.659,944.42
2020-04-22 12-PM,ETHEUR,164.68,165.27,163.2,163.2,4.435,727.49
2020-04-22 11-AM,ETHEUR,162.94,164.68,162.94,164.68,1.825,300.56
2020-04-22 10-AM,ETHEUR,164.42,164.54,162.49,162.94,7.291,1190.5
2020-04-22 09-AM,ETHEUR,164.22,164.82,160.56,164.42,16.9,2781.12
2020-04-22 08-AM,ETHEUR,163.98,164.22,163.98,164.22,1.827,299.75
2020-04-22 07-AM,ETHEUR,162.13,163.98,162.13,163.98,1.833,300.57
2020-04-22 06-AM,ETHEUR,159.12,162.13,159.12,162.13,1.854,299.39
2020-04-22 05-AM,ETHEUR,159.12,159.12,159.12,159.12,0.0,0.0
2020-04-22 04-AM,ETHEUR,159.12,159.12,159.12,159.12,0.0,0.0
2020-04-22 03-AM,ETHEUR,159.12,159.12,159.12,159.12,0.0,0.0
2020-04-22 02-AM,ETHEUR,159.12,159.12,159.12,159.12,0.0,0.0
2020-04-22 01-AM,ETHEUR,159.12,159.12,159.12,159.12,0.0,0.0
2020-04-22 12-AM,ETHEUR,159.12,159.12,159.12,159.12,0.0,0.0
2020-04-21 11-PM,ETHEUR,161.61,161.61,159.12,159.12,1.952,310.61
2020-04-21 10-PM,ETHEUR,161.61,161.61,161.61,161.61,0.0,0.0
2020-04-21 09-PM,ETHEUR,161.61,161.61,161.61,161.61,0.0,0.0
2020-04-21 08-PM,ETHEUR,159.17,161.61,159.17,161.61,0.1856,30.0
2020-04-21 07-PM,ETHEUR,159.17,159.17,159.17,159.17,0.0,0.0
2020-04-21 06-PM,ETHEUR,159.78,162.4,159.17,159.17,3.905,627.51
2020-04-21 05-PM,ETHEUR,159.78,159.78,159.78,159.78,0.0,0.0
2020-04-21 04-PM,ETHEUR,159.78,159.78,159.78,159.78,0.0,0.0
2020-04-21 03-PM,ETHEUR,157.16,159.78,157.16,159.78,1.297,207.28
2020-04-21 02-PM,ETHEUR,157.16,157.16,157.16,157.16,0.0,0.0
2020-04-21 01-PM,ETHEUR,157.16,157.16,157.16,157.16,0.0,0.0
2020-04-21 12-PM,ETHEUR,159.63,159.63,157.16,157.16,8.5,1335.86
2020-04-21 11-AM,ETHEUR,158,159.63,158,159.63,0.2728,43.5
2020-04-21 10-AM,ETHEUR,158,158,158,158,0.0,0.0
2020-04-21 09-AM,ETHEUR,161,161.7,158,158,2.281,367.33
2020-04-21 08-AM,ETHEUR,162.25,162.25,161,161,0.03137,5.05
2020-04-21 07-AM,ETHEUR,162.25,162.25,162.25,162.25,0.0,0.0
2020-04-21 06-AM,ETHEUR,162.21,162.25,162.21,162.25,8.628,1399.89
2020-04-21 05-AM,ETHEUR,162.21,162.21,162.21,162.21,0.0,0.0
2020-04-21 04-AM,ETHEUR,162.21,162.21,162.21,162.21,0.0,0.0
2020-04-21 03-AM,ETHEUR,162.21,162.21,162.21,162.21,0.0,0.0
2020-04-21 02-AM,ETHEUR,162.21,162.21,162.21,162.21,0.0,0.0
2020-04-21 01-AM,ETHEUR,162.21,162.21,162.21,162.21,0.0,0.0
2020-04-21 12-AM,ETHEUR,162.21,162.21,162.21,162.21,0.0,0.0
2020-04-20 11-PM,ETHEUR,162.23,162.23,162.21,162.21,0.07,11.35
2020-04-20 10-PM,ETHEUR,160.88,162.23,160.88,162.23,0.1212,19.67
2020-04-20 09-PM,ETHEUR,160.45,160.88,160.45,160.88,0.2071,33.32
2020-04-20 08-PM,ETHEUR,158.51,160.45,157.33,160.45,19.96,3195.72
2020-04-20 07-PM,ETHEUR,162,162,157.82,158.51,23.62,3748.87
2020-04-20 06-PM,ETHEUR,163.5,163.5,162,162,0.2077,33.68
2020-04-20 05-PM,ETHEUR,166.26,166.26,163.5,163.5,5.59,919.08
2020-04-20 04-PM,ETHEUR,167.09,167.34,166.26,166.26,13.45,2247.35
2020-04-20 03-PM,ETHEUR,166.89,167.59,166.89,167.09,17.01,2842.9
2020-04-20 02-PM,ETHEUR,167.64,167.64,164.1,166.89,28.46,4747.15
2020-04-20 01-PM,ETHEUR,164.9,167.64,164.9,167.64,0.05965,10.0
2020-04-20 12-PM,ETHEUR,164.1,165,161.06,164.9,1.513,246.51
2020-04-20 11-AM,ETHEUR,167.85,168.02,164.1,164.1,20.59,3410.8
2020-04-20 10-AM,ETHEUR,170.3,170.3,165.87,167.85,2.264,379.09
2020-04-20 09-AM,ETHEUR,169.97,170.48,165.97,170.3,4.69,794.99
2020-04-20 08-AM,ETHEUR,173.77,173.77,169.97,169.97,1.066,181.18
2020-04-20 07-AM,ETHEUR,173.77,173.77,173.77,173.77,0.0,0.0
2020-04-20 06-AM,ETHEUR,173.77,173.77,173.77,173.77,0.0,0.0
2020-04-20 05-AM,ETHEUR,173.77,173.77,173.77,173.77,0.0,0.0
2020-04-20 04-AM,ETHEUR,170.55,173.77,170.45,173.77,24.86,4262.14
2020-04-20 03-AM,ETHEUR,170.55,170.55,170.55,170.55,0.0,0.0
2020-04-20 02-AM,ETHEUR,167.8,170.55,167.8,170.55,1.762,300.29
2020-04-20 01-AM,ETHEUR,167.8,167.8,167.8,167.8,0.0,0.0
2020-04-20 12-AM,ETHEUR,167.8,167.8,167.8,167.8,0.0,0.0
2020-04-19 11-PM,ETHEUR,167.8,167.8,167.8,167.8,0.0,0.0
2020-04-19 10-PM,ETHEUR,167.8,167.8,167.8,167.8,0.0,0.0
2020-04-19 09-PM,ETHEUR,170.6,170.6,167.8,167.8,0.2844,47.72
2020-04-19 08-PM,ETHEUR,170.6,170.6,170.6,170.6,0.0,0.0
2020-04-19 07-PM,ETHEUR,170.6,170.6,170.6,170.6,0.0,0.0
2020-04-19 06-PM,ETHEUR,164.58,170.6,164.58,170.6,6.369,1085.36
2020-04-19 05-PM,ETHEUR,164.58,164.58,164.58,164.58,0.0,0.0
2020-04-19 04-PM,ETHEUR,164.8,164.8,164.58,164.58,0.257,42.33
2020-04-19 03-PM,ETHEUR,164.8,164.8,164.8,164.8,0.0,0.0
2020-04-19 02-PM,ETHEUR,167.99,167.99,164.8,164.8,9.457,1563.28
2020-04-19 01-PM,ETHEUR,167.99,168.1,167.99,167.99,4.612,774.8
2020-04-19 12-PM,ETHEUR,167.99,167.99,167.99,167.99,0.0,0.0
2020-04-19 11-AM,ETHEUR,167.99,167.99,167.99,167.99,0.0,0.0
2020-04-19 10-AM,ETHEUR,169.54,171,167.99,167.99,27.08,4606.91
2020-04-19 09-AM,ETHEUR,165.32,169.54,165.32,169.54,1.832,310.59
2020-04-19 08-AM,ETHEUR,167.03,168.11,165.32,165.32,2.231,374.98
2020-04-19 07-AM,ETHEUR,167.03,167.03,167.03,167.03,0.0,0.0
2020-04-19 06-AM,ETHEUR,167.03,167.03,167.03,167.03,0.0,0.0
2020-04-19 05-AM,ETHEUR,172.3,172.3,167.03,167.03,1.991,332.69
2020-04-19 04-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-19 03-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-19 02-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-19 01-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-19 12-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-18 11-PM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-18 10-PM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-18 09-PM,ETHEUR,171.72,172.3,171.72,172.3,8.0,1378.4
2020-04-18 08-PM,ETHEUR,170.84,171.92,170,171.72,3.868,659.01
2020-04-18 07-PM,ETHEUR,161.76,170.84,161.76,170.84,1.76,300.6
2020-04-18 06-PM,ETHEUR,166.48,170.89,161.76,161.76,2.532,422.38
2020-04-18 05-PM,ETHEUR,170,170,166.48,166.48,1.656,277.26
2020-04-18 04-PM,ETHEUR,170,170,170,170,0.0,0.0
2020-04-18 03-PM,ETHEUR,170,170,167.61,170,0.3731,63.3
2020-04-18 02-PM,ETHEUR,169,170,169,170,3.105,527.78
2020-04-18 01-PM,ETHEUR,164.35,169,164.35,169,8.335,1384.87
2020-04-18 12-PM,ETHEUR,159.61,165,159.04,164.35,45.67,7430.32
2020-04-18 11-AM,ETHEUR,159.3,159.87,159.3,159.61,2.131,340.17
2020-04-18 10-AM,ETHEUR,157.64,159.71,157.64,159.3,7.186,1145.27
2020-04-18 09-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-18 08-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-18 07-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
