Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-04-21 04-PM,BTCEUR,6304.4,6372.83,6304.4,6330.03,0.3505,2231.91
2020-04-21 03-PM,BTCEUR,6349.05,6382.34,6304.4,6304.4,0.5829,3683.04
2020-04-21 02-PM,BTCEUR,6317.15,6394.36,6317.15,6349.05,0.2578,1646.36
2020-04-21 01-PM,BTCEUR,6384.48,6384.48,6317.15,6317.15,0.5004,3184.84
2020-04-21 12-PM,BTCEUR,6333.06,6454,6312.75,6384.48,5.524,35127.05
2020-04-21 11-AM,BTCEUR,6419,6453.6,6326.06,6333.06,0.1095,694.81
2020-04-21 10-AM,BTCEUR,6379.79,6461.21,6302.4,6419,62.03,398256.84
2020-04-21 09-AM,BTCEUR,6399.01,6435.57,6302.98,6379.79,1.168,7459.06
2020-04-21 08-AM,BTCEUR,6393.3,6409.23,6393.27,6399.01,0.8857,5672.57
2020-04-21 07-AM,BTCEUR,6389.02,6488.18,6389.02,6393.3,3.356,21655.8
2020-04-21 06-AM,BTCEUR,6451.82,6452.22,6375.08,6389.02,0.3227,2081.6
2020-04-21 05-AM,BTCEUR,6374.96,6451.82,6356.76,6451.82,0.07157,457.23
2020-04-21 04-AM,BTCEUR,6368.08,6374.96,6357.33,6374.96,0.02162,137.58
2020-04-21 03-AM,BTCEUR,6369.76,6429.93,6368.08,6368.08,0.01793,114.5
2020-04-21 02-AM,BTCEUR,6381.21,6383.32,6361.79,6369.76,0.06331,403.19
2020-04-21 01-AM,BTCEUR,6377.14,6381.21,6367.22,6381.21,0.0321,204.64
2020-04-21 12-AM,BTCEUR,6315.75,6444.39,6315.75,6377.14,0.791,5065.18
2020-04-20 11-PM,BTCEUR,6361.19,6418.33,6315.75,6315.75,2.249,14295.81
2020-04-20 10-PM,BTCEUR,6368.47,6376.66,6358.45,6361.19,0.2729,1737.28
2020-04-20 09-PM,BTCEUR,6360.47,6431.15,6358.46,6368.47,0.7582,4852.68
2020-04-20 08-PM,BTCEUR,6326,6410.83,6309.38,6360.47,0.6826,4336.26
2020-04-20 07-PM,BTCEUR,6388.52,6388.52,6326,6326,0.6792,4324.74
2020-04-20 06-PM,BTCEUR,6400.02,6459.06,6388.52,6388.52,3.705,23740.17
2020-04-20 05-PM,BTCEUR,6527.96,6555.29,6400.01,6400.02,14.62,94914.43
2020-04-20 04-PM,BTCEUR,6557.07,6590.46,6516.22,6527.96,0.7376,4849.6
2020-04-20 03-PM,BTCEUR,6589.9,6620.22,6523.86,6557.07,0.4301,2835.22
2020-04-20 02-PM,BTCEUR,6501.64,6596.81,6501.64,6589.9,0.6724,4415.19
2020-04-20 01-PM,BTCEUR,6548,6583,6500,6501.64,15.88,103554.79
2020-04-20 12-PM,BTCEUR,6475,6550.64,6436.17,6548,67.18,439572.84
2020-04-20 11-AM,BTCEUR,6545.17,6595.68,6470,6475,3.269,21378.74
2020-04-20 10-AM,BTCEUR,6621.47,6649.03,6545.11,6545.17,2.543,16700.98
2020-04-20 09-AM,BTCEUR,6631.48,6680.97,6576.54,6621.47,4.029,26710.23
2020-04-20 08-AM,BTCEUR,6641,6641,6610.98,6631.48,0.08715,576.62
2020-04-20 07-AM,BTCEUR,6621.12,6660.92,6621.12,6641,3.467,23028.59
2020-04-20 06-AM,BTCEUR,6607.07,6699.05,6607.07,6621.12,1.009,6752.66
2020-04-20 05-AM,BTCEUR,6640.82,6644.32,6607.07,6607.07,0.05756,382.27
2020-04-20 04-AM,BTCEUR,6624.91,6642.23,6618.27,6640.82,0.0698,462.42
2020-04-20 03-AM,BTCEUR,6616.58,6624.91,6606.38,6624.91,0.04609,304.73
2020-04-20 02-AM,BTCEUR,6597.54,6616.58,6593.43,6616.58,0.0603,398.18
2020-04-20 01-AM,BTCEUR,6603.73,6610.64,6589.32,6597.54,0.1233,813.72
2020-04-20 12-AM,BTCEUR,6609.85,6641.27,6566.18,6603.73,0.4111,2722.35
2020-04-19 11-PM,BTCEUR,6617.58,6623.71,6601.19,6609.85,0.05891,389.68
2020-04-19 10-PM,BTCEUR,6604.11,6617.58,6604.11,6617.58,0.04273,282.48
2020-04-19 09-PM,BTCEUR,6590.93,6665.91,6590.93,6604.11,0.3763,2501.25
2020-04-19 08-PM,BTCEUR,6570.33,6633.23,6566.86,6590.93,0.05998,395.63
2020-04-19 07-PM,BTCEUR,6597.99,6635.76,6567.07,6570.33,0.4998,3307.8
2020-04-19 06-PM,BTCEUR,6602.86,6632.79,6595.38,6597.99,3.159,20908.59
2020-04-19 05-PM,BTCEUR,6565.68,6602.86,6565.68,6602.86,0.04961,326.97
2020-04-19 04-PM,BTCEUR,6545.36,6637.2,6545.36,6565.68,0.4319,2859.71
2020-04-19 03-PM,BTCEUR,6642.58,6642.58,6545.36,6545.36,0.03842,251.75
2020-04-19 02-PM,BTCEUR,6574.75,6642.58,6545.11,6642.58,0.1697,1120.05
2020-04-19 01-PM,BTCEUR,6600,6600,6563.87,6574.75,0.4416,2904.46
2020-04-19 12-PM,BTCEUR,6607.83,6662.41,6591.13,6600,0.3712,2468.41
2020-04-19 11-AM,BTCEUR,6607.27,6660,6600,6607.83,0.0244,161.72
2020-04-19 10-AM,BTCEUR,6586.15,6675.98,6586.15,6607.27,0.06181,410.21
2020-04-19 09-AM,BTCEUR,6640.19,6640.19,6586.15,6586.15,0.0102,67.33
2020-04-19 08-AM,BTCEUR,6586.77,6640.19,6579,6640.19,0.3352,2221.5
2020-04-19 07-AM,BTCEUR,6604.04,6604.04,6585.08,6586.77,0.05785,381.79
2020-04-19 06-AM,BTCEUR,6591.68,6606.57,6587.79,6604.04,0.01101,72.66
2020-04-19 05-AM,BTCEUR,6672.84,6672.84,6591.68,6591.68,0.9033,5994.97
2020-04-19 04-AM,BTCEUR,6667.4,6672.84,6667.4,6672.84,0.001545,10.31
2020-04-19 03-AM,BTCEUR,6672.97,6672.97,6665.78,6667.4,0.0177,118.03
2020-04-19 02-AM,BTCEUR,6662.85,6672.97,6655.45,6672.97,0.08084,538.58
2020-04-19 01-AM,BTCEUR,6662.85,6753.54,6647.58,6662.85,0.4113,2763.71
2020-04-19 12-AM,BTCEUR,6686.47,6696.97,6632.52,6662.85,0.1498,997.03
2020-04-18 11-PM,BTCEUR,6677.93,6747.59,6677.93,6686.47,0.2094,1402.9
2020-04-18 10-PM,BTCEUR,6662.21,6681.53,6658.59,6677.93,0.06288,419.45
2020-04-18 09-PM,BTCEUR,6656.16,6730.82,6651.06,6662.21,0.3444,2315.02
2020-04-18 08-PM,BTCEUR,6656.08,6738.9,6631.46,6656.16,0.345,2317.61
2020-04-18 07-PM,BTCEUR,6626.33,6656.08,6622.73,6656.08,0.1459,968.77
2020-04-18 06-PM,BTCEUR,6626.12,6643.12,6622.36,6626.33,0.5573,3695.35
2020-04-18 05-PM,BTCEUR,6620.56,6684.73,6614.47,6626.12,0.4101,2734.08
2020-04-18 04-PM,BTCEUR,6667.06,6680.53,6613.96,6620.56,0.3764,2504.36
2020-04-18 03-PM,BTCEUR,6666.05,6715.3,6666.05,6667.06,0.4756,3185.11
2020-04-18 02-PM,BTCEUR,6700,6749,6631.39,6666.05,2.13,14364.41
2020-04-18 01-PM,BTCEUR,6556.3,6700,6556.3,6700,0.5381,3575.11
2020-04-18 12-PM,BTCEUR,6520.62,6556.3,6520.62,6556.3,0.05252,343.98
2020-04-18 11-AM,BTCEUR,6523.94,6582.7,6513.88,6520.62,0.2593,1695.42
2020-04-18 10-AM,BTCEUR,6535.45,6637.64,6518.42,6523.94,0.3255,2156.73
2020-04-18 09-AM,BTCEUR,6541.59,6547.63,6535.45,6535.45,0.1155,755.38
2020-04-18 08-AM,BTCEUR,6538.72,6624.08,6535.45,6541.59,0.3736,2446.0
2020-04-18 07-AM,BTCEUR,6540.83,6544.78,6500.25,6538.72,0.1741,1138.17
2020-04-18 06-AM,BTCEUR,6541.8,6560.4,6540.83,6540.83,0.04158,272.74
2020-04-18 05-AM,BTCEUR,6513.06,6544.73,6512.71,6541.8,0.09206,601.95
2020-04-18 04-AM,BTCEUR,6566.01,6589.18,6513.06,6513.06,0.3363,2214.42
2020-04-18 03-AM,BTCEUR,6539.08,6566.01,6529.04,6566.01,0.08706,569.34
2020-04-18 02-AM,BTCEUR,6524.52,6546.54,6518.25,6539.08,0.0374,244.44
2020-04-18 01-AM,BTCEUR,6515.62,6524.52,6515.62,6524.52,0.03947,257.4
2020-04-18 12-AM,BTCEUR,6534.97,6534.97,6481.83,6515.62,0.07166,465.88
2020-04-17 11-PM,BTCEUR,6508.16,6535.32,6499.26,6534.97,1.056,6901.61
2020-04-17 10-PM,BTCEUR,6500,6574.82,6500,6508.16,0.3745,2455.77
2020-04-17 09-PM,BTCEUR,6503,6520.33,6499.94,6500,0.4871,3166.49
2020-04-17 08-PM,BTCEUR,6513.11,6521.82,6503,6503,0.05319,346.68
2020-04-17 07-PM,BTCEUR,6489.7,6582.73,6487.08,6513.11,0.1193,776.73
2020-04-17 06-PM,BTCEUR,6509.6,6548.46,6476.62,6489.7,0.3766,2460.23
2020-04-17 05-PM,BTCEUR,6504.99,6592.64,6500.74,6509.6,0.351,2309.73
2020-04-17 04-PM,BTCEUR,6557.65,6557.65,6472.98,6504.99,0.4001,2619.57
2020-04-17 03-PM,BTCEUR,6472.67,6561.88,6467.06,6557.65,0.7255,4730.74
2020-04-17 02-PM,BTCEUR,6466.31,6563.61,6466.31,6472.67,0.3507,2297.44
2020-04-17 01-PM,BTCEUR,6538.19,6565.5,6466.31,6466.31,0.2366,1541.85
2020-04-17 12-PM,BTCEUR,6541.48,6548.42,6538.14,6538.19,0.03125,204.31
2020-04-17 11-AM,BTCEUR,6584.44,6682.51,6517.42,6541.48,1.02,6750.27
